ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,PRICE_REGR,YEAR
253810,179593,319053,24,5,77,0.854,7,0,2613.01,3374.94,1126.58,0,227970,2005
253960,174298,317254,55,7,110,0.463,7,1,2425.09,2217.16,1314.5,0,235569,2005
255858,175359,316799,53,6,220,0.848,7,0,1439.67,1569.01,2299.92,0,429344,2005
261944,175146,318192,65,8,95,5.21,9,0,1493.14,1265.47,2246.45,0,252667,2005
262823,178605,315833,39,5,128,0.732,6,0,1477.14,3081.35,2262.44,0,203907,2005
263166,176009,316747,53,1,151,1.96,7,0,794.74,1290.35,2944.85,0,417945,2005
263177,176030,316563,53,1,128,0.817,7,0,738.4,1461.65,3001.18,0,392615,2005
263959,177682,314907,29,5,92,0.392,7,0,410.79,3330.98,3328.79,0,198841,2005
267437,178605,315833,39,5,130,1.232,6,1,1477.14,3081.35,2262.44,0,213405,2005
270080,179214,319234,52,9,144,3.14,7,1,2215.52,3087.13,1524.06,0,272298,2005
271077,176401,317470,100,1,150,0.616,7,0,337.95,508.84,3401.63,0,468605,2005
273082,178605,315685,41,1,125,0.612,7,0,1448.3,3186.18,2291.29,0,208973,2005
275122,177775,316340,31,3,95,0.292,7,1,547.58,2143.37,3192,0,226387,2005
275773,174000,316795,45,6,110,0.395,6,0,2781.57,2670.08,958.01,0,218471,2005
276627,178917,317464,65,7,90,0.273,6,0,1891.41,2575.44,1848.18,0,206712,2006
278489,176408,317384,53,1,150,0.422,7,0,351.32,594.96,3388.26,0,394515,2005
278674,177729,315531,38,5,127,4.5,7,0,563.68,2788.34,3175.91,0,262166,2005
278894,177682,314907,29,6,100,0.459,7,0,410.79,3330.98,3328.79,0,217838,2005
282293,178678,316228,35,7,100,1.019,7,0,1457.5,2878.17,2282.09,0,224171,2005
285716,175071,316488,54,4,140,0.482,7,1,1683.83,1992.74,2055.76,0,411613,2005
285750,174851,318870,23,6,110,1.113,9,0,1597.11,1781.31,2142.48,0,235886,2005
287624,178815,318116,17,1,166,0.845,7,1,1981.87,2425.35,1757.72,0,424278,2005
289212,178284,317921,53,5,999,0.292,7,0,1439.63,1891.37,2299.95,0,162864,2006
291468,177625,315509,38,1,100,3.81,7,0,457.38,2759.72,3282.21,0,212772,2005
